"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-01",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-02",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-03",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-04",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-05",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-06",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-07",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-08",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-09",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-10",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-11",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-12",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-13",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-14",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-15",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-16",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-17",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-19",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-20",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-21",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-22",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-23",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-24",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-25",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-26",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-27",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-28",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-29",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-30",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-01-31",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-02-01",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-02-02",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-02-03",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","40.20922","-74.886037","54.9","2021-02-04",,,,,,,,,,,,,
